證券代碼,簡稱,年月,year,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
3661,世芯-KY,201512,2015,0.05820100000000001,37.0,33.53,0.77,6.503711633509855e-08,9.858987541370482,7.119596854261712,0.7340575199829252,31.14721490598275,9.829523729687035e-07,,,,,,,-18.51351351351352,-1
3665,貿聯-KY,201512,2015,0.18079200000000004,139.5,18.72,3.15,7.797157965421008e-08,13.880824773388412,8.593269659096107,0.744169878608232,26.25692686088832,8.684393103647971e-07,,,,,,,10.03584229390681,-1
3702,大聯大,201512,2015,53562192.62,32.35,9.44,1.11,0.3756095998741998,-0.02241135832592638,-0.0059792731005622315,-0.3287711725290104,-0.007507676925741922,1.528351645223132e-07,,,,,,,22.565687789799064,1
3706,神達,201512,2015,19523063.63,25.1,11.0,0.56,1.984559221003832,0.0,0.0,4.6829061220042005,0.0,7.659202103663934e-08,,,,,,,27.689243027888427,1
4904,遠傳,201512,2015,228746756.16,70.2,19.31,3.15,8.83579484982702,0.010757044943100655,0.005650886782667865,-1.7952890157055343,0.029877963871805576,6.525152536913805e-08,,,,,,,4.843304843304831,-1
4938,和碩,201512,2015,231668824.5,89.0,8.27,1.29,0.5623248467968923,0.819707337009639,0.2589186162520163,-0.31135750030742093,0.29920508582502553,3.963289433142216e-08,,,,,,,-14.04494382022472,-1
4958,臻鼎-KY,201512,2015,76451098.0,95.0,7.34,1.5,2.846655601918078,12.274371811034381,5.683205758255551,1.677953708124324,19.310931573935537,1.2709297215388248e-07,,,,,,,-31.68421052631578,-1
5269,祥碩,201512,2015,0.6411558953704836,182.50950622558597,63.88,9.71,1.4614272355892576e-06,16.505518908168817,13.66812256636324,-0.971920523159471,50.62260809310744,1.277538801803864e-06,,,,,,,35.15624980404973,1
5274,信驊,201512,2015,0.93808,357.5,31.3,10.95,3.6318444557150213e-06,163800045.75611988,11.863353625599405,-0.21719520079909252,55.43859105744252,14.39029970258522,,,,,,,28.671328671328673,1
5483,中美晶,201512,2015,0.0583412,46.45,88.21,1.17,8.33574918398066e-09,169242515.5716295,0.1823742848967279,-2.1960260983309556,1.203500828342679,76.63250954390195,,,,,,,-37.2443487621098,-1
5871,中租-KY,201512,2015,0.024069,56.5,9.47,1.76,2.4265553409169614e-09,0.378131931707203,0.053542286244821734,0.9020265048922779,1.4443292110423642,2.2445669483663296e-07,,,,,,,-4.247787610619466,-1
