證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label,year
2308,台達電,199712,58071,20.97,0.0357116785741896,0.8338,0.4623,0.1213,0.20037,0.089133,0.11112,0.65176,297.69,238.18,8.18,4.59,32.79,53.62,-1.7644,1,1997
2310,旭麗,199712,16822,29.44,0.473288848902729,1.211,0.84598,0.24408,0.44618,0.05046,0.31163,0.82805,321.92,260.63,5.8,6.63,2.77,629.99,14.0625,1,1997
2311,日月光,199712,116446,19.12,0.278498218867048,0.92456,1.0186,0.16394,0.31723,0.18448,0.38786,0.93499,225.63,196.93,7.06,5.05,45.38,276.04,-17.5732,1,1997
2313,華通,199712,57819,64.51,0.849129305868777,2.5052,1.9262,0.16087,0.29427,0.20311,0.22623,0.8293,166.32,120.63,7.3,5.39,55.41,88.61,57.1229,1,1997
2314,台揚,199712,7611,15.89,0.450923706430945,1.6331,1.6674,-0.2082,-0.34028,-0.084687,-0.34723,0.6344,193.68,131.07,2.48,4.13,-46.45,-266.88,-15.1038,1,1997
2315,神達,199712,19908,12.3,0.699076722656686,0.82828,0.099474,0.021485,0.064856,0.0083301,0.0090254,2.0187,124.63,64.73,7.98,10.4,34.66,195.57,41.4634,1,1997
2316,楠梓電,199712,12238,25.73,0.74815159282371,1.6675,1.1658,0.1029,0.16754,0.13885,0.13621,0.62821,113.18,83.78,6.74,5.16,6.61,40.3,62.2231,1,1997
2317,鴻海,199712,84447,11.05,0.157613081677548,0.49046,0.23876,0.16352,0.3143,0.15485,0.15302,0.92206,169.03,118.42,7.48,5.15,74.5,96.61,54.5701,1,1997
2318,佳錄,199712,8305,58.09,0.575208595078466,3.9092,5.7007,0.039141,0.057948,0.10301,0.084482,0.48049,209.77,168.35,10.55,3.02,-4.49,26.12,-31.3996,-1,1997
2322,致福,199712,22796,47.85,0.162611735194631,2.8584,0.88907,0.022298,0.058374,-0.0095471,0.019759,1.6179,238.81,163.31,5.82,4.97,-130.93,-8.56,-30.2403,-1,1997
2323,中環,199712,34976,14.49,0.0971317812358475,0.68156,1.4984,0.11073,0.19098,-0.045803,0.42973,0.7248,185.65,155.11,4.21,4.11,-150.32,218.13,25.1898,1,1997
2325,矽品,199712,50373,17.27,0.743132468124916,1.028,1.5283,0.10095,0.15989,0.25946,0.23767,0.58389,558.52,510.9,13.88,4.3,30.1,10.34,2.0266,1,1997
