split_id,model_name,feature,importance,signed_coefficient,importance_type
8,logistic_regression,資產報酬率 ROA,0.4462488580864128,0.4462488580864128,abs_logistic_coefficient
8,logistic_regression,收盤價(元)_年,0.37804269494331527,-0.37804269494331527,abs_logistic_coefficient
8,logistic_regression,淨值報酬率─稅後,0.19207654491198398,0.19207654491198398,abs_logistic_coefficient
8,logistic_regression,營業利益成長率,0.16953351702493927,-0.16953351702493927,abs_logistic_coefficient
8,logistic_regression,負債/淨值比,0.12611950994852736,0.12611950994852736,abs_logistic_coefficient
8,logistic_regression,利潤邊際 NPM,0.10894162358330323,0.10894162358330323,abs_logistic_coefficient
8,logistic_regression,股價淨值比,0.08742307220638643,0.08742307220638643,abs_logistic_coefficient
8,logistic_regression,市值(百萬元),0.08669187296763808,0.08669187296763808,abs_logistic_coefficient
8,logistic_regression,速動比率,0.08217947399981082,0.08217947399981082,abs_logistic_coefficient
8,logistic_regression,營業利益率 OPM,0.06690437135625046,-0.06690437135625046,abs_logistic_coefficient
8,logistic_regression,存貨週轉率 (次),0.0592231145067359,0.0592231145067359,abs_logistic_coefficient
8,logistic_regression,股價營收比,0.05167934569386023,-0.05167934569386023,abs_logistic_coefficient
8,logistic_regression,稅後淨利成長率,0.049160914001532045,-0.049160914001532045,abs_logistic_coefficient
8,logistic_regression,流動比率,0.02571377991526076,-0.02571377991526076,abs_logistic_coefficient
8,logistic_regression,應收帳款週轉次,0.024299191998875296,0.024299191998875296,abs_logistic_coefficient
8,logistic_regression,Unknown masked parameter,0.019671471651633216,0.019671471651633216,abs_logistic_coefficient
9,logistic_regression,資產報酬率 ROA,0.3312816704664291,0.3312816704664291,abs_logistic_coefficient
9,logistic_regression,收盤價(元)_年,0.28146789186660864,-0.28146789186660864,abs_logistic_coefficient
9,logistic_regression,淨值報酬率─稅後,0.19766070163891797,0.19766070163891797,abs_logistic_coefficient
9,logistic_regression,利潤邊際 NPM,0.15924462929291625,0.15924462929291625,abs_logistic_coefficient
9,logistic_regression,營業利益成長率,0.1435887886182111,-0.1435887886182111,abs_logistic_coefficient
9,logistic_regression,負債/淨值比,0.09252257464024632,0.09252257464024632,abs_logistic_coefficient
9,logistic_regression,營業利益率 OPM,0.05845810244168635,-0.05845810244168635,abs_logistic_coefficient
9,logistic_regression,市值(百萬元),0.05352548569012157,0.05352548569012157,abs_logistic_coefficient
9,logistic_regression,稅後淨利成長率,0.05136826780683215,-0.05136826780683215,abs_logistic_coefficient
9,logistic_regression,Unknown masked parameter,0.03674718813047173,0.03674718813047173,abs_logistic_coefficient
9,logistic_regression,股價淨值比,0.028617239544305055,-0.028617239544305055,abs_logistic_coefficient
9,logistic_regression,應收帳款週轉次,0.02587518699053121,0.02587518699053121,abs_logistic_coefficient
9,logistic_regression,存貨週轉率 (次),0.018342668537690197,-0.018342668537690197,abs_logistic_coefficient
9,logistic_regression,速動比率,0.016660796038119763,0.016660796038119763,abs_logistic_coefficient
9,logistic_regression,股價營收比,0.011334454333817193,-0.011334454333817193,abs_logistic_coefficient
9,logistic_regression,流動比率,0.008803600118977949,0.008803600118977949,abs_logistic_coefficient
10,logistic_regression,淨值報酬率─稅後,0.2687202509264875,0.2687202509264875,abs_logistic_coefficient
10,logistic_regression,收盤價(元)_年,0.21849445292810946,-0.21849445292810946,abs_logistic_coefficient
10,logistic_regression,利潤邊際 NPM,0.18822042516089427,0.18822042516089427,abs_logistic_coefficient
10,logistic_regression,營業利益成長率,0.1406916337353344,-0.1406916337353344,abs_logistic_coefficient
10,logistic_regression,負債/淨值比,0.10501638883921567,0.10501638883921567,abs_logistic_coefficient
10,logistic_regression,資產報酬率 ROA,0.08921749716312823,0.08921749716312823,abs_logistic_coefficient
10,logistic_regression,營業利益率 OPM,0.08626935620797799,-0.08626935620797799,abs_logistic_coefficient
10,logistic_regression,股價淨值比,0.07133522879349127,-0.07133522879349127,abs_logistic_coefficient
10,logistic_regression,市值(百萬元),0.06700612896346457,0.06700612896346457,abs_logistic_coefficient
10,logistic_regression,稅後淨利成長率,0.061122953953288484,-0.061122953953288484,abs_logistic_coefficient
10,logistic_regression,股價營收比,0.057099199749404576,-0.057099199749404576,abs_logistic_coefficient
10,logistic_regression,存貨週轉率 (次),0.043855466945525896,-0.043855466945525896,abs_logistic_coefficient
