證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
2618,長榮航,200812,29570,12.46,0.689637840074109,1.9081,0.50425,-0.11089,-0.58831,-0.076587,-0.17336,4.3054,62.3,33.91,3678.95,10.7,-554.61,-947.6,13.1621,-1
2704,國賓,200812,12418,33.29,0.117565484621756,1.5982,4.4865,0.027748,0.03961,0.12156,0.11133,0.42748,199.55,191.83,82.76,21.98,-18.88,-10.48,18.2037,-1
2707,晶華,200812,21516,258.24,0.0364255155254801,6.2528,4.0155,0.16134,0.2311,0.22244,0.15957,0.43236,71.1,59.8,63.69,32.27,-9.71,-22.47,41.8487,-1
2903,遠百,200812,21892,17.07,0.282205164558222,0.95845,0.22157,0.0034833,0.011093,0.030093,0.0032113,2.1845,40.17,29.62,32.3,132.5,-22.3,-62.06,105.2724,1
2908,特力,200812,7152,14.34,0.292831555968535,1.1435,0.18679,0.012114,0.04823,0.013719,0.0087104,2.9812,100.77,52.11,5.91,11.7,-52.66,-79.36,23.0126,-1
2912,統一超,200812,71748,65.08,0.847910522313782,3.6216,0.40823,0.05523,0.18736,0.03913,0.024124,2.3924,93.62,62.25,12.5,63.98,13.02,-5.25,12.984,-1
2913,農林,200812,9680,17.89,0.600838938434792,1.7574,6.6506,0.00071566,0.0014666,-0.08239,0.0056611,1.0493,54.63,15.59,1.36,4.78,-32.19,-92.35,11.8502,-1
2915,潤泰全,200812,13339,18.52,0.243647912616785,1.6715,1.4769,0.015793,0.028635,-0.026476,0.040284,0.81319,105.35,57.83,2.97,16.47,22.29,-20.48,206.6955,1
3005,神基,200812,7654,12.97,0.504732317557449,0.65013,0.40118,0.065903,0.11057,0.066412,0.070986,0.67783,133.18,93.51,6.24,4.97,31.07,-3.1,122.128,1
3008,大立光,200812,26482,191.47,0.822326222185306,2.0885,3.3317,0.23771,0.27176,0.41955,0.43355,0.14326,496.64,444.99,5.58,4.57,7.57,26.17,116.2898,1
3009,D 奇美電,200812,78909,10.8,0.295534196164876,0.4186,0.29581,-0.010165,-0.029536,-0.014742,-0.018979,1.9058,109.27,86.94,10.18,8.18,-110.6,-118.05,108.3333,1
3014,聯陽,200812,8229,38.74,0.282727516244758,1.3088,3.1496,0.061238,0.068698,0.17306,0.16533,0.12182,471.88,411.12,4.99,4.65,-29.89,-24.73,79.8141,-1
3019,亞光,200812,9891,37.58,0.501701052364218,0.63149,0.29762,0.042488,0.062826,0.02981,0.031912,0.47866,192.34,148.31,11.91,7.54,-59.63,-51.63,89.4625,-1
3034,聯詠,200812,18211,27.75,0.897479892399884,0.88517,0.62067,0.13743,0.19241,0.136,0.13491,0.40007,256.25,221.17,8.21,2.9,-53.05,-53.43,264.2523,1
3035,智原,200812,9360,24.27,0.498227929455356,1.5207,1.6256,0.1018,0.12498,0.095027,0.13385,0.22771,282.59,234.66,7.24,5.69,-60.93,-59.92,174.4953,1
3037,欣興,200812,14861,13.0,0.598628526633235,0.49923,0.3085,0.037682,0.074848,0.069607,0.053123,0.98633,125.82,101.7,10.9,4.66,-56.16,-60.44,248.0769,1
3044,健鼎,200812,14875,29.99,0.681478514196212,0.8878,0.45744,0.080521,0.17962,0.09528,0.092677,1.2307,146.44,122.67,8.42,3.84,-28.23,-30.06,252.2841,1
3045,台灣大,200812,185105,41.39,0.629450486099479,2.4106,1.7711,0.16719,0.30178,0.31404,0.22182,0.80497,47.55,42.38,122.24,10.13,2.17,127.17,39.5265,-1
3059,華晶科,200812,9523,25.17,0.837840690870234,0.89573,0.30531,0.10102,0.19188,0.074404,0.065447,0.89945,199.88,163.15,9.39,4.21,10.19,2.33,159.0385,1
