證券代碼,year,市值(百萬元),股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,稅後淨利成長率
1504,2020,0.0550221,4.410722825910075e-09,200865808.3470146,116231000.0,1.1505037988325417,0.9317396551174056,2.4098444710305933,195.02500190369827
1504,2021,0.0472932,3.417614329855441e-09,148054276.71432033,91653000.0,-2.674114909343598,0.6623248293078936,1.6692189892802454,-21.145821682683618
1504,2022,0.049237199999999995,3.2697955909571857e-09,104971965.5689805,66463000.0,1.2218467971148457,0.4413744574463769,2.755584542638187,-27.48409762910107
1504,2023,0.0752025,5.235370098425864e-09,126968618.57004206,78492000.0,1.3330326808506134,0.5464375117391613,2.503610977371208,18.098791808976422
1504,2024,0.09179459999999999,6.7885989496872355e-09,157196064.0806701,0.15534731468648494,2.0437917014035847,0.714782422588225,205132599736.23477,23.13611578250012
1504,2025,,,99234118.02644306,0.09892035842382688,2.442460900227303,0.4013468612451724,1.8144525086778163,-36.323097297521
1513,2015,0.047921,1.4785339370759948e-08,-0.04203748652479343,-0.02042752292440339,-0.8128064530859123,-0.09555350687849494,6.746086794582607e-07,
1513,2016,0.05071175,1.3088139421684733e-08,-0.07760737380548556,-0.03809933794615034,1.0910191775532863,-0.1468267712511685,6.679697011575948e-07,83.69389731998709
1513,2017,0.059195700000000004,1.731914659557499e-08,0.13045418894671337,0.12706148364543163,0.45074012546760706,0.2732937499670854,7.569383884313516e-07,-264.1940587097908
1513,2018,0.050323700000000006,1.5444155620958562e-08,0.05940764710134049,0.05045816670593191,-1.2871843188283927,0.13116746408546448,2.3282577134064172e-07,-54.24472754523071
1513,2019,0.0442401,1.2547133182242443e-08,0.03773570533793739,0.01639831388735129,0.44323271731321784,0.0393940519802956,41.33973845743262,-67.50116986429575
1513,2020,0.09349600000000001,1.7112031682223118e-08,27285092.491838954,10030000.0,0.7279055917191062,0.18357328417547045,26.185852981969482,622.1022318214543
