stock_id,year,total_assets_million,total_equity_million,total_liabilities_million,share_capital_million
2317,2024,0.1,0.03744,0.05787,0.00316
2317,2025,0.1,0.03473,0.1,0.0027400000000000002
2324,2015,327925575.0,103775795.0,0.06658,44711266.0
2324,2016,334573387.0,101565890.0,0.06777,44245106.0
2324,2017,0.1,99006011.0,0.06748,44219306.0
2324,2018,399794823.0,105723646.0,0.0,44071466.0
2324,2019,382648419.0,105972633.0,0.00025,44071466.0
2324,2020,0.1,0.022879999999999998,0.00017999999999999998,0.009439999999999999
2324,2021,0.1,0.020730000000000002,0.0002,0.00821
2324,2022,0.1,0.02166,0.00017999999999999998,0.00811
2324,2023,0.1,0.02509,0.00014000000000000001,0.00957
2324,2024,0.1,0.03073,0.0007,0.00951
2324,2025,0.1,0.03003,0.00107,0.010039999999999999
2327,2015,47547893.0,25187740.0,0.04679,6515947.0
2327,2016,49664327.0,0.04672,49664327.0,0.0104
2327,2017,0.1,0.04132,60732774.0,0.008289999999999999
2327,2018,122756622.0,0.04834,122756622.0,0.00348
2327,2019,96382137.0,46246731.0,0.00116,4302571.0
2327,2020,183030890.0,0.037950000000000005,183030890.0,0.00272
2327,2021,242902683.0,0.03269,242902683.0,0.00204
2327,2022,0.1,0.04313,0.056799999999999996,0.00152
2327,2023,298966158.0,0.042409999999999996,298966158.0,0.00141
2327,2024,0.1,0.04376,0.055670000000000004,0.00141
2327,2025,0.1,0.04373,0.1,0.00133
2330,2015,1657518298.0,1221671719.0,0.02624,259303805.0
2330,2016,1718686763.0,1283113034.0,0.0253,259303805.0
2330,2017,0.1,1341685497.0,0.0,259303805.0
2330,2018,2090128038.0,1676817665.0,1e-05,259303805.0
2330,2019,2264805032.0,1621410124.0,0.02838,259303805.0
2330,2020,0.1,0.067,0.03297,0.00939
2330,2021,0.1,0.0582,0.041729999999999996,0.00696
2330,2022,0.1,0.05897,0.040729999999999995,0.00558
2330,2023,0.1,0.06192,0.03775,0.00504
2330,2024,0.1,0.06409000000000001,0.03539,0.0038799999999999998
2330,2025,0.1,0.06831999999999999,0.1,0.00327
2344,2015,62597767.0,38901971.0,0.03594,35800002.0
2344,2016,0.1,42577236.0,0.032799999999999996,35800002.0
2344,2017,0.1,44943703.0,0.037219999999999996,35800002.0
2344,2018,96042464.0,62444371.0,0.033479999999999996,39800002.0
2344,2019,104804900.0,61020622.0,0.0016,39800002.0
2344,2020,0.1,0.05193,0.0002,0.03158
2344,2021,0.1,0.05398,0.041049999999999996,0.02606
2344,2022,0.1,0.05097,0.044539999999999996,0.022260000000000002
2344,2023,0.1,0.049049999999999996,0.04682,0.022010000000000002
2344,2024,0.1,0.05155,0.044219999999999995,0.02531
2344,2025,0.1,0.056159999999999995,0.1,0.02341
2345,2015,14987537.0,8171824.0,0.04543,5369759.0
2345,2016,15143487.0,8286291.0,0.04524,5437079.0
2345,2017,0.1,8245676.0,0.05366,5470089.0
2345,2018,22378327.0,10271902.0,0.00171,5575899.0
2345,2019,29521087.0,12800387.0,0.0020099999999999996,5580514.0
2345,2020,0.1,0.04653,0.0030800000000000003,0.01798
2345,2021,0.1,0.04441,0.0024,0.01599
2345,2022,0.1,0.04296,0.0020299999999999997,0.01325
2345,2023,0.1,0.04253,0.002,0.011619999999999998
2345,2024,86466500.0,0.04201,0.00783,0.00649
2345,2025,0.1,0.040170000000000004,0.0045899999999999995,0.00392
2347,2015,134787518.0,42818302.0,0.06745,15885209.0
2347,2016,123999840.0,41188771.0,0.0658,16679470.0
2347,2017,0.1,41495473.0,0.06653,16679470.0
2347,2018,147518369.0,47570546.0,0.06654,16679470.0
2347,2019,147689360.0,49814287.0,0.06483,16679470.0
2347,2020,0.1,0.03418,0.0644,0.01045
2347,2021,0.1,0.03154,0.06733,0.00827
