stock_id,year,revenue_million,operating_income_million,net_income_million
2324,2022,248706045.0,-384913.0,260721.0
2324,2023,241671172.0,-601793.0,287014.0
2324,2024,229155396.0,1834.0,468411.0
2324,2025,190852231.0,-119996.0,575910.0
2327,2015,6535250.0,158375.0,6273.0
2327,2016,7188395.0,760863.0,9694.0
2327,2017,9651479.0,141427.0,22619.0
2327,2018,16218592.0,630109.0,156706.0
2327,2019,10015831.0,-679404.0,-5980.0
2327,2020,22225455.0,-937830.0,7246.0
2327,2021,25690047.0,-310958.0,5086.0
2327,2022,28835178.0,505669.0,1517.0
2327,2023,27361435.0,1160157.0,-381.0
2327,2024,30005958.0,883139.0,41790.0
2327,2025,35968221.0,-25818.0,102866.0
2330,2015,203518563.0,2679959.0,6314.0
2330,2016,262227252.0,2140134.0,27317.0
2330,2017,277570284.0,2779901.0,19862.0
2330,2018,289770193.0,3958841.0,21165.0
2330,2019,317237065.0,4538251.0,42676.0
2330,2020,361533057.0,3987187.0,57631.0
2330,2021,438189306.0,2047257.0,142664.0
2330,2022,625531868.0,9629104.0,493149.0
2330,2023,625528856.0,18076486.0,-122303.0
2330,2024,868461178.0,23085091.0,-1700036.0
2330,2025,1046090421.0,27460788.0,-174100.0
2344,2015,9840433.0,-15620.0,8911.0
2344,2016,10775161.0,51757.0,36646.0
2344,2017,13205649.0,3024.0,35038.0
2344,2018,11868264.0,-43535.0,24721.0
2344,2019,12452668.0,-90476.0,29863.0
2344,2020,20347852.0,-101789.0,107057.0
2344,2021,25995677.0,-7173.0,484755.0
2344,2022,19223813.0,-70458.0,547363.0
2344,2023,19173669.0,220209.0,324487.0
2344,2024,18692003.0,-39618.0,-210180.0
2344,2025,26625074.0,-75051.0,-329915.0
2345,2015,7118350.0,-22127.0,-274.0
2345,2016,8429155.0,29262.0,0.0
2345,2017,10187321.0,-79743.0,-2770.0
2345,2018,13026850.0,9029.0,-31.0
2345,2019,14032283.0,-122204.0,-132.0
2345,2020,15713778.0,-192933.0,-61.0
2345,2021,17143267.0,66982.0,0.0
2345,2022,22198149.0,-275423.0,0.0
2345,2023,21956341.0,-498641.0,0.0
2345,2024,38971903.0,489986.0,-910.0
2345,2025,72017781.0,1201911.0,-8112.0
2347,2015,94211179.0,-257118.0,122214.0
2347,2016,90643831.0,292953.0,88447.0
2347,2017,106968344.0,733799.0,62164.0
2347,2018,98721628.0,526933.0,166137.0
2347,2019,93279381.0,754129.0,91564.0
2347,2020,99926023.0,1085002.0,182976.0
2347,2021,123930530.0,1081107.0,132864.0
2347,2022,111538393.0,534814.0,57292.0
2347,2023,114206974.0,374471.0,120173.0
2347,2024,113246192.0,659272.0,114784.0
2347,2025,126210457.0,562794.0,384300.0
2356,2015,110051789.0,-113481.0,-127683.0
2356,2016,113117662.0,-91337.0,-155425.0
2356,2017,132677380.0,-1698935.0,-1779207.0
2356,2018,134102019.0,167721.0,-361489.0
2356,2019,129578038.0,-326781.0,-114134.0
2356,2020,125476916.0,185773.0,-542590.0
2356,2021,148001194.0,343883.0,-287012.0
2356,2022,134756958.0,-300171.0,-25268.0
2356,2023,128071274.0,-575881.0,-64307.0
2356,2024,197781801.0,-930382.0,4608.0
2356,2025,171293077.0,205778.0,17594.0
